"pestcode","pestdesc"
"CARPETMOTH","CARPET MOTH"
"MINTGRASS","MINT GRASS"
"MHSAA","MILD TO HEAVY SEDATION AND FOR ANALGESIA"
"CPUC","CONTROL OF PAIN IN UNCOMPLICATED COLIC"
"MAND","MANGANESE DEFICIENCY"
"EYSP","EYE SPOT"
"BSCOM","BLACK SPOT COMPLEX"
"SWBS","SILVERLEAF WHITEFLY - BIOTYPE B - SUPPRESSION"
"GREENWA","GREEN WATTLE"
"RATCON","RATOON CONTROL"
"MEDIFF","MEDITERRANEAN FRUIT FLY - SUPPRESSION ONLY"
"QLDFF","QUEENSLAND FRUIT FLY - SUPPRESSION ONLY"
"BLACKL","BLACK LEG "
"WLS","WHITE LEAF SPOT "
"SOCS","COMMON SCAB - SUPPRESSION"
"ARHEAD","ARROWHEAD"
"JERJER","JERRY JERRY"
"COOPM","COOPERIA MCMASTERI"
"LHP","LONG HAIRED POPPY"
"OXT","OX TONGUE"
"FLF","FLAX LEAF FLEABANE"
"DWAAS","DWARF AMARANTH - SUPPRESSION"
"RLWLBS","FOR REDUCED LACTATION WEIGHT LOSS IN BREEDING SOWS"
"BARLEY","BARLEY"
"OATS","OATS"
"TRITICALE","TRITICALE"
"CRABGRASS","CRAB GRASS"
"MEALWORM","MEALWORM"
"ANP","ANNUAL POLYMERIA"
"BRAVEG","BRASSICA VEGETABLE"
"PLAPN","PLANT PARASITIC NEMATODES"
"NFNBS","NET FORM NET BLOTCH - SUPPRESSION"
"VGOSP","OESTRUS SUPPRESSION"
"DWARSET","DWARF SETARIA"
"GARWESU","GARDEN WEEVIL - SUPPRESSION"
"WHITEE","WHITE ECLIPTA"
"FWDOS","FUSARIUM WILT - DAMPING OFF - SUPPRESSION"
"BRRDOS","BLACK ROOT ROT - DAMPING OFF - SUPPRESSION"
"BLWAG","BROAD LEAF WEEDS AND GRASSES"
"WANDTR","WANDERING TRAD"
"TWWAG","TOUGH, WOODY WEEDS AND GRASSES"
"PRICP","PRICKLY PEAR"
"WRSPS","WILD RADISH - SUPPRESSION - PRE-SOWING"
"VIWO","ANTISEPTIC FOR TREATMENT OF WOUNDS"
"AOPER","APPLE OF PERU"
"SESBA","SESBANIA"
"BILGW","BILLYGOAT WEED"
"GREDES","GREENLEAVED DESMODIUM"
"GASRND","GASTROINTESTINAL ROUNDWORM"
"YRUSL3","LEAF RUST"
"YHB1","FUSARIUM HEAD BLIGHT"
"YBLIR1","RAY BLIGHT"
"YROSE1","SCLEROTINIA CROWN ROT"
"EUROES","EUROPEAN EARWIG - SUPPRESSION"
"YSPE2","LEAF SPECKLE"
"YRU3","RUST"
"BASFUM","BASTARD FUMITORY"
"VBGHS","HAEMOPHILUS SOMNUS"
"SORO","SOUR ROT"
"PPBEE","POWDER POST BEETLE"
"TEMDA","TERMITES - EXCLUDING MASTOTERMES DARWINIENSIS"
"BANOB","BATHURST AND NOOGOORA BURRS"
"BLNI","BLACKBERRY NIGHTSHADE"
"FAHE","FAT-HEN"
"TEHTH","THISTLES - EXCEPT HARDHEAD THISTLE"
"STOCRO","STONECROP"
"MFYC","MAINTAIN OR INCREASE CROP YEILD POTENTIAL"
"ARTHYP","ARTERIAL HYPERTENSION"
"SCISUP","SCIRTOTHRIPS - SUPPRESSION"
"FROLE","FROGEYE LEAF SPOT"
"HELMDI","HELMINTHOSPORIUM DISEASE"
"MNBS","MACADAMIA NUT BORER - SUPPRESSION"
"FSBS","FRUITSPOTTING BUG - SUPPRESSION"
"COTMEA","COTTON MEALYBUG"
"THICKBEAD","THICKBEAD"
"TOMATO","TOMATO"
"NFIS","NATURAL FIELD INFESTATION - SUPPRESSION"
"LOOSESMU","LOOSE SMUT "
"WHGRS","WHITE GRAIN DISORDER ? SUPPRESSION"
"GENMW","GENERAL MIXED WEEDS - ANNUAL AND PERENNIAL WEEDS"
"WOODWE","WOODY WEEDS"
"BIOF","BIOFILM IN PROCESS WATERS"
"DEMSPP","DEMODEX SPP."
"CEFL1","FLOWER LIFE - EXTEND"
"ZBRAR8","CANOLA - B. CAMPESTRIS, INCLUDING CANOLA HYBRIDS WITH THE OPTIMUM GLY? HERBICIDE TOLERANCE TRAIT "
"ZPASN1","BAHIA GRASS - SUPPRESSION AND SEEDHEAD CONTROL"
"YMILU1","POWDERY MILDEW ON GRAPEVINE - ERYSIPHE NECATOR"
"VVCD1","CANINE DISTEMPER VIRUS"
"VVCPIV","CANINE PARAINFLUENZA VIRUS"
"ZCON3","FLEABANE - CONYZA BONARIENSIS"
"ZSETA","SETARIA"
"TSTYH","TOWNSVILLE STYLO"
"PINSP","VOLUNTEER OR WILDLING PINUS SPP."
"DEFM","DEFOAMER"
"WBWH2","HELICOVERPA SPP. - OVA"
"UMIRL1","RED LEGGED EARTH MITE - SUPPRESSION"
"UMIRL2","LUCERNE FLEA - SUPPRESSION"
"XAAV","SPRAY DROPLET SPREAD - INCREASE"
"MITH","MILK THISTLE"
"COGR","COUCHGRASS"
"BRDL","BROADLEAF"
"SPTH","SPEAR THISTLE"
"DENTL","DEADNETTLE"
"SWTH","SOW THISTLE"
"WDOT","WILD OATS SPP"
"YMIM1","DOWNY MILDEW - PERONOSPORA MECONOPSIDIS"
"NA","NUISANCE ANTS"
"BPBB","BLACK PINE BARK BEETLE"
"CERZ","CERCOSPORA LEAF SPOT"
"VARTH","VARIEGRATED THISTLE"
"EROM","ERODIUM"
"DOCK","DOCK"
"DOCR","DOCK"
"PNAPP","PINEAPPLE DISEASE "
"PNAPP1","PINEAPPLE DISEASE - SUPPRESSION - CERATOCYSTIS PARADOXA"
"UIUSH","URINARY INCONTINENCE "
"EIMTE","EIMERIA TENELLA"
"EACER","E. ACERVULINA"
"EMAXI"," E. MAXIMA"
"EMITI","E. MITIS"
"HARDH","HARDHEAD THISTLE"
"BLAD","BLADY GRASS"
"BLAD1","BLADY GRASS"
"BLA1","BLADY GRASS"
"BGR1","BLADY GRASS"
"BGR2","BLADY GRASS"
"BGR6","BLADY GRASS"
"BGRS","BLADY GRASS"
"ZACAY","WATTLE - SUPPRESSION "
"YRO7","PHYTOPHTHORA - SUPRESSION"
"ZFES1","TALL FESCUE"
"YCAT1","TRUNK AND ROOT CANKER - SUPPRESSION"
"ZAMUC","VOLUNTEER MUNG BEAN"
"UGSC4","STORED GRAIN INSECT PESTS - PROTECTION AGAINST"
"QLDB","QUEENSLAND BLUE COUCH"
"RHYN1","RHYNCHO"
"RHYNC","RHYNCHO"
"VBSB2","TIGER SNAKE ENVENOMATION (NOTECHIS SCUTATUS)"
"VBSB3","BLACK SNAKE BITE (RED-BELLIED BLACK, PSEUDECHIS PORPHYRIACUS; KING BROWN, PSEUDECHIS AUSTRALIS)"
"VBSB4","BLACK SNAKE BITE (RED-BELLIED BLACK, PSEUDECHIS PORPHYRIACUS; KING BROWN, PSEUDECHIS AUSTRALIS)"
"VBSB5","BLACK SNAKE BITE (RED-BELLIED BLACK, PSEUDECHIS PORPHYRIACUS; KING BROWN, PSEUDECHIS AUSTRALIS)"
"VBSB6","BLACK SNAKE BITE (RED-BELLIED BLACK, PSEUDECHIS PORPHYRIACUS; KING BROWN, PSEUDECHIS AUSTRALIS)"
"VBSB7","BLACK SNAKE BITE (RED-BELLIED BLACK, PSEUDECHIS PORPHYRIACUS; KING BROWN, PSEUDECHIS AUSTRALIS)"
"VBSB8","BLACK SNAKE BITE (RED-BELLIED BLACK, PSEUDECHIS PORPHYRIACUS; KING BROWN, PSEUDECHIS AUSTRALIS)"
"VGBSB2","BLACK SNAKE BITE (RED-BELLIED BLACK, PSEUDECHIS PORPHYRIACUS; KING BROWN, PSEUDECHIS AUSTRALIS)"
"VGBSB3","BLACK SNAKE BITE (RED-BELLIED BLACK, PSEUDECHIS PORPHYRIACUS; KING BROWN, PSEUDECHIS AUSTRALIS)"
"VGBSB4","BLACK SNAKE BITE (RED-BELLIED BLACK, PSEUDECHIS PORPHYRIACUS; KING BROWN, PSEUDECHIS AUSTRALIS)"
"VGBSB5","BLACK SNAKE ENVENOMATION (RED-BELLIED BLACK, PSEUDECHIS PORPHYRIACUS; KING BROWN, PSEUDECHIS AUSTRALIS)"
"VGBSB6","BROWN SNAKE ENVENOMATION (EASTERN BROWN, PSEUDONAJA TEXTILIS; DUGITE, PSEUDONJA AFFINIS; WESTERN BROWN, PSEUDONAJA NUCHALIS)"
"LETDRP","LETTUCE DROP "
"ZMESZ","ICEPLANT - SUPPRESSION"
"ZLUPZ","VOLUNTEER LUPINS - SUPPRESSION"
"JERCUD","JERSEY CUDWEED"
"KNCLR","KNOBBY CLUB RUSH"
"PANVG","PANIC VELDT GRASS"
"YROW2","WHITE ROT - SUPPRESSION"
"YALS1","ALTERNARIA LEAF SPOT - SUPPRESSION - SCLEROTIUM CEPIVORUM"
"YDWB1","WHITE BLISTER - SUPPRESSION - ALBUGO CANDIDA"
"YROT22","SCLEROTINIA ROT - SUPPRESSION - SCLEROTINIA SPP."
"YMILV","POWDERY MILDEW - SUPPRESSION - SPHAEROTHECA FULIGINEA"
"YBLSH","GUMMY STEM BLIGHT - SUPPRESSION - DIDYMELLA BRYONIAE"
"YALS2","ALTERNARIA LEAF SPOT - SUPPRESSION - ALTERNARIA SPP."
"YMIDQ","DOWNY MILDEW - PERONOSPORA SOMNIFERI"
"IWLC1","LUNGWORM"
"IWLC2","LUNGWORM"
"WANS1","SUGAR FEEDING ANT"
"YMILYS","POWDERY MILDEW"
"YBLO9S","SPOT FORM OF NET BLOTCH"
"SERS","STEM END ROT - SUPPRESSION ONLY"
"FOOT","ROUTINE DISINFECTION OF FOOTWEAR"
"IJPS","IMPROVED JOINING PERFORMANCE IN SHEEP"
"ISPR","INCREASED SEMEN PRODUCTION IN RAMS "
"YANT8","ANTHRACNOSE"
"YSPC1","CLADOSPORIUM"
"YBL02","BLOTCH"
"WDOT1","WILD OATS - SUPPRESSION"
"ZPHAT","PHALARIS - SUPPRESSION"
"ZEMES","SPINY EMEX - DOUBLEGEE - SUPPRESSION"
"ZPOAT","POA TRIVIALIS"
"YIU2","MASTITIS CAUSED BY STREPTOCOCCUS UBERIS, STAPHYLOCOCCUS AUREUS, STREPTOCOCCUS DYSGALACTIAE AND STREPTOCOCCUS AGALACTIAE."
"SQLT","SQUIRREL TAIL"
"ZURT4","STINGING NETTLE"
"ZRAP8","WILD RADISH"
"ZPOLZ","WIREWEED"
"ZBIFT1","BIFORA"
"ZFALC3","BINDWEED/BUCKWHEAT"
"YALB","ALTERNARIA LATE BLIGHT"
"YSPL10","STEMPHYLIUM"
"FDWCA","FEEDING DAMAGE FROM WHEAT APHID AND CORN APHID"
"SYHYP","SYSTEMIC HYPERTENSION"
"PROT","PROTEINURIA REDUCTION"
"LMVN ","LIGHT TO MEDIUM VEGETATION (NOT IN RESIDENTIAL / HOME / PUBLIC/ COMMERICAL / SPACES) "
"LVN","LIGHT VEGETAITON (NOT IN RESIDENTIAL / HOME/ PUBLIC/ COMMERICAL / SPACES)"
"MHVN","MEDIUM TO HEAVY VEGETATION (NOT IN RESIDENTIAL / HOME / PUBLIC /  COMMERICAL / SPACES)"
"MVN","MEDIUM VEGETATION  (NOT IN RESIDENTIAL / HOME / PUBLIC /  COMMERICAL / SPACES)"
"HVN","HEAVY VEGETATION  (NOT IN RESIDENTIAL / HOME / PUBLIC /  COMMERICAL / SPACES)"
"CIAN","COMMERICAL / INDUSTRIAL AREAS ( (NOT FOR USE IN COMMERICAL AREAS WHICH THE PUBLIC HAVE ACCESS TO)"
"ZURDI","STINGING NETTLE"
"ZCRCO","DENSE CRASSULA"
"YANTFR","ANTHRACNOSE FRUIT ROT - SUPRESSION OF"
"YDED1","PHOMOPSIS FRUIT ROT - SUPRESSION OF"
"YRHI2","RHIZOPUS FRUIT ROT - SUPRESSION OF"
"WFYWG1","GREENHOUSE WHITEFLY - SUPRESSION OF"
"IHAB1","SWEET POTATO WHITEFLY - SUPRESSION OF"
"WAPF1","ROSE APHID - SUPRESSION OF"
"CHRYSAPH1","CHRYSANTHEMUM APHID - SUPRESSION OF"
"TSMSUP","TWO SPOTTED SPIDER MITE - SUPRESSION OF"
"UMIRS","POULTRY RED MITE (DERMANYSSUS GALLINAE) - SUPPRESSION ONLY"
"LPS01","PEPPER SPOT"
"YROCS","CROWN ROT - SUPRESSION OF"
"WILD1","WILD MUSTARD"
"ZERO4","MUSKY STORKSBIL -  SUPRESSION "
"OXT1","OX TONGUE - SUPPRESSION "
"VOAXN","ANXIETY AND FEAR ASSOCIATED WITH NOISE PHOBIA"
"RINGS","RING SPOT"
"RLSPO","RAMULARIA LEAF SPOT"
"GLUB","GLUME BLOTCH"
"EYSU","EYESPOT - SUPPRESSION"
"TPPS","TOMATO-POTATO PSYLLID"
"APHM","APHID MIRIDS (APHIS CREONTIADES)"
"BMSB","BROWN MARMORATED STINK BUG"
"BOMS","BLUE OAT MITE"
"LEPIS","LEPISTA SPP."
"CHIG","CHIGGER"
"ANNU PERE1","ANNUAL AND PERENNIAL GRASSES AS APPROVED FOR OTHER USES"
"ENDM","ENDOMETRITIS"
"OVDY","OVARIAN DYSFUNCTION"
"DUIV","DELAYED UTERINE INVOLUTION"
"EXFT","EXPULSION OF MUMMIFIED FOETUS"
"CDHF","CANINE CONGESTIVE HEART FAILURE (CHF)"
"ZAGESP","AGERATUM"
"ZAMS6","AMSINCKIA"
"ZPERM","REDSHANK"
"ZRHYN","RHYNCHOSIA"
"VCONVA","AUSTRALIAN BINDWEED"
"VBELLV","BELLVINE"
"VBLCG","BROAD-LEAVED CARPET GRASS"
"VCALDA","CALOMBA DAISY"
"VGUINEA","GUINEA GRASS"
"ZHAORY","HOARY CRESS"
"VLESWI","LESSER SWINECRESS"
"VMELON","MELON"
"ZHIBIS","NATIVE ROSELLA"
"VPARA","PARAGRASS"
"VWILGO","WILD GOOSEBERRY"
"ZHARV","HARVEST AID"
"ZCRDESS","CROP DESICCATION"
"ZWWG","WESTERN WHITE GUM"
"ZSBG","SYDNEY BLUE GUM"
"ZDWG","DUNN?S WHITE GUM"
"ZTGY","TREES - GLYPHOSATE SUSCEPTIBLE"
"VGWW","WOUNDS (CAUSED BY BACTERIA SUSCEPTIBLE TO CLINDAMYCIN)"
"VIDD1","DENTAL INFECTIONS (CAUSED BY BACTERIA SUSCEPTIBLE TO CLINDAMYCIN)"
"VIAB1","ABSCESSES (CAUSED BY BACTERIA SUSCEPTIBLE TO CLINDAMYCIN)"
"VDOT1","OSTEOMYELITIS (CAUSED BY BACTERIA SUSCEPTIBLE TO CLINDAMYCIN)"
"YFURS","SOFT ROT FUNGUS"
"MLNA1","STAGE II OR STAGE III ORAL MELANOMA - SEE LABEL"
"OCYX","OOCYST EXCRETION - REDUCTION"
"VBGX6","PREVENTION OF COCCIDIOSIS (CYSTOISOSPORA SUIS.) - SEE LABEL"
"XGAD1","DISINFECTION OF HARD SURFACES AND EQUIPMENT"
"ZLOLS2","ANNUAL RYEGRASS - LOLIUM RIGIDUM - (SEE LABEL)"
"CMIT","COUCH MITE (ACERIA CYNODONIENSIS)"
"GIAR","GIARDIA DUODENALIS INFECTIONS AND ASSOCIATED DIARRHOEA"
"CANT","CARPENTER ANTS"
"SWW1","WEAKEN TREES SUFFICIENTLY TO ENCOURAGE ATTACK BY SIREX WOOD WASP (SIREX NOCTILIO) TO ENABLE DETECTION, MONITORING OR CONTROL."
"SIRE","SIREX WOOD WASP (SIREX NOCTILIO)"
"TPS","TOXIC PIMELEA SPECIES (DESERT RICEFLOWERS, FLAXWEED)"
"ZCOTB","COTULA (WATER BUTTONS)"
"ZNESP3","WHITE BALL MUSTARD"
"BFP","BACTERIOSTATIC AND FUNGISTATIC PROTECTION"
"DOC1","DOCKS"
"SPS1","SHEPHERD?S PURSE,"
"BMS1","BALL MEDIC - SUPPRESSION"
"RFMS1","RED FLOWERED MALLOW - SUPPRESSION"
"JCS1","JERSEY CUDWEED - SUPPRESSION"
"ZACLB3","CLIMBING BUCKWHEAT (LESS THAN 12 LEAVES)"
"ZCARD2","HOARY CRESS (LATE ROSETTE TO EARLY FLOWERING)"
"ZPIC2","SOLDIER THISTLE (UP TO 10CM DIAMETER, 4TO 8 LEAF) - CIRSIUM ACARNA (PICNOMOM ACARNA)"
"ZCARL6","VOLUNTEER SAFFLOWER (UP TO 6 LEAF) - CARTHAMUS TINCTORIUS"
"ZCHOL1","SKELETON WEED (FULLY EMERGED ROSETTES) - CHONDRILLA JUNCEA"
"ZECHD2","AWNLESS BARNYARD GRASS - PRE-EMERGENCE - ECHINOCHLOA COLONA (SUPPRESSION)"
"ZDINR1","DINEBRA - PRE-EMERGENCE - DINEBRA RETROFLEXA"
"ZTRAA1","WANDERING JEW - PRE-EMERGENCE -  TRADESCANTIA ALBIFLORA (COMMELINA SPP.)"
"ZUROP1","LIVERSEED GRASS - PRE-EMERGENCE - UROCHLOA PANICOIDES (LIVERSEED GRASS)"
"ZERA9","LOVEGRASS - PRE-EMERGENCE -  ERAGROSTIS SPP. (ANNUAL LOVEGRASS)"
"ZSET2","PIGEON GRASS - PRE-EMERGENCE - SETARIA SPP."
"ZTRTI7","CALTROP - PRE-EMERGENCE SUPPRESSION - TRIBULUS SPP."
"ZSON5","COMMON SOWTHISTLE - PRE EMERGENCE SUPPRESSION - SONCHUS OLERACEUS"
"ZVERO2","COMMON VERBENA - SUPRESSION - VERBENA OFFICIALIS"
"ZVERO3","COMMON VERBENA - SUPRESSION PRE-EMERGENCE - VERBENA OFFICIALIS"
"ZSAL3","MINTWEED - SUPPRESSION PRE-EMERGENCE - SALVIA REFLEXA"
"ZLEP3","PEPPERCRESS - SUPPRESSION PRE-EMERGENCE - LEPIDIUM SPP."
"ZSTA3","STAGGER WEED - SUPPRESSION PRE-EMERGENCE - STACHYS ARVENSIS"
"ZDIG4","SUMMER GRASSES - PRE-EMERGENCE - DIGITARIA SPP."
"ZCHED4","AWNLESS BARNYARD GRASS - PRE-EMERGENCE - ECHINOCHLOA COLONA"
"SPD1","SPRING DEAD SPOT"
"PRXA","PYREXIA"
"WCCC","CABBAGE CENTRE GRUB "
"RBSP","RUBUS SPP. "
"RUBP","RUBUS SPP."
"WEAE1","EUROPEAN EARWIG - SUPRESSION ONLY"
"MLDP1","MOULDS CAUSED BY PENICILLIUM SPP, BOTRYTIS SPP., NEOFABREA SPP"
"MGCH","MATRICARIA / GLOBE CHAMOMILE"
"STAT","STATICE"
"IWL7","LUNGWORM - METASTRONGYLUS APRI"
"TWUA","TREATMENT OF WOUNDS, ULCERS, ABSCESSES, ECZEMA, FURUNCULOSIS, OTITIS EXTERNA, NAVEL INFECTION. "
"BOWC","TO STOP BLEEDING AND OOZING; WOUNDS CASTRATION, MULESING, MARKING, DEHORNING, NAVEL BLEEDING, DURING AND AFTER SURGERY. "
"FAGH","FOOT ABSCESSES, GREASY HEEL. "
"ACE","ACUTE AND CHRONIC ENDOMETRITIS"
"UP1","UTERINE PROLAPSE "
"TUI","TREATMENT OF UTERINE INFECTIONS "
"DSBC1","BACTERICIDAL"
"AFUC1","FUNGICIDAL"
"MFL","MUSHROOM FLIES"
"PTHG","PATHOGEN"
"VDAD","CANINE ATOPIC DERMATITIS"
"VDCAL","CONTACT ALLERGY"
"VGPC","PRURITIC CONDITIONS"
"LAMJ","LAMENESS DUE TO NON-INFECTIOUS INFLAMMATION OF JOINTS"
"WFLAF","RAPID ONSET OF ACTION KILLS NEWLY EMERGED ADULT FLEAS BEFORE THEY LAY EGGS."
"UNIEV","RED SPIDER MITE"
"UNILA","BANANA SPOTTED MITE"
"UTISM","RED PEPPER MITES "
"UMILA","MUSHROOM PYGMY MITES "
"BAM1","BROWN ALMOND MITE"
"FFLIES","FERMENT FLIES"
"TTPS","TOMATO POTATO PSYLLID "
"RHBDS","SOIL BORNE NEMATODES OF THE FAMILY RHABDITIDAE"
"DBDM","DIAMONDBACK MOTH"
"SSMF1","SUPPRESSION OF SURFACE MOULDS AND FUNGAL ROTS"
"PSHM1","POSTHARVEST MOULDS"
"KOCH1","KOCHIA "
"BSS1","BLACK SPOT OR SCAB "
"ALLB1","ALTERNARIA LEAF BLOTCH "
"MSW","SIGASTUS WEEVIL"
"BRIN","BROWSING INSECTS"
"ZCEP1","FLATWEED"
"WMIP","PODOSPHAERA APHANIS"
"OSTEO","FOR THE CONTROL OF PAIN AND INFLAMMATION ASSOCIATED WITH OSTEOARTHRITIS"
"HORN","HORNETS"
"BEON","BEAN OR ONION THRIP "
"BEOT","BEAN OR ONION THRIP "
"BEOTH","BEAN OR ONION THRIP "
"BONO","BEAN OR ONION THRIP "
"BONOT","BEAN OR ONION THRIP "
"ORGLI","ORGANISMS SENSITIVE TO LINCOMYCIN"
"FLSP","FOLIAR SPRAYS"
"GTHD","GROWTH REGULATION"
"TAN1","TAN SPOT"
"YRS0","RHIZOCTONIA ROT"
"GMBG","GREY MOULD"
"WDCX","WINTER DIEBACK COMPLEX (RAY BLIGHT; PHOMA LIGULICOLA AND TAN SPOT; MICROSPHAEROPSIS TANACETI)"
"YMOUBM","BLACK MOULD - SUPPRESSION ONLY"
"YMOUY0","GREY MOULD - SUPPRESSION ONLY"
"PPC","PROTECTS PLANTED CROP FROM INJURY WHEN DUAL GOLD AND PRIMEXTRA GOLD ARE APPLIED AT RECOMMENDED LABEL RATES."
"TBAS","TINEOLA BISSELLIELLA"
"IWT16","TAPEWORM"
"BPB","BEAN POD BORER"
"IPC","INACTIVATION OF CANINE PARVOVIRUS"
"RHS1","RED HOUSE SPIDER"
"YSPB10","BLACK SPOT (ASPERISPORIUM CARICAE)"
"YSP10","BROWN SPOT (CORYNESPORA CASSIICOLA) "
"LGWM","LUNGWORM "
"YSPOD1","DOLLAR SPOT "
"FCDE","FIELD CROP DESICCATION"
"VSIS","IODINE SUPPLEMENT"
"VSCO","COBALT SUPPLEMENT"
"IODD","IODINE - DEFICIENCY"
"ZBIND","BINDII"
"ZCAUW","CAUSTIC WEED (SUPPRESSION ONLY)"
"ZCRIN","CREEPING INDIGO (SUPPRESSION ONLY)"
"ZPLAN1","PLANTAIN (SUPPRESSION ONLY)"
"ZRAPW","WILD RADISH (UP TO 4-8 LEAF STAGE)"
"ZARCW","CAPEWEED (UP TO 4 LEAF STAGE)"
"ZLACP","PRICKLY LETTUCE (UP TO 6 LEAF STAGE)"
"ZCRASS","CRASSULA (UP TO 2-4 LEAF STAGE)"
"ZFUMD4","DENSEFLOWER FUMITORY (UP TO 2 LEAF STAGE)"
"ZPOL4","WIREWEED (UP TO 4 LEAF STAGE) (SUPPRESSION ONLY)"
"ZBUGC","CORN GROMWELL (UP TO 2 LEAF STAGE)"
"ZCART1","SAFFRON THISTLE (UP TO 2 LEAF STAGE)"
"ZRUME","SORREL (UP TO 2 LEAF STAGE)"
"ZJUNC","TOAD RUSH (UP TO 2 LEAF STAGE)"
"ZRUMD","DOCK (UP TO 2 LEAF STAGE) (SUPPRESSION ONLY)"
"ZMALP4","MARSHMALLOW (UP TO 2 LEAF STAGE) (SUPPRESSION ONLY)"
"ZANAG","SCARLET PIMPERNEL (UP TO 2 LEAF STAGE) (SUPPRESSION ONLY)"
"ZVICI","VETCH (TARES) (UP TO 2 LEAF STAGE) (SUPPRESSION ONLY)"
"ZSENE","FIREWEED (UP TO 4 LEAF STAGE)"
"ZCERA","MOUSE-EARED CHICKWEED (UP TO 4 LEAF STAGE) (SUPPRESSION ONLY)"
"UTICR","CATTLE TICK"
"ZHRYC","CATS EAR"
"FVAN3","ANAESTHETIC - REGIONAL"
"CBVP","CONTROL OF BACTERIA, VIRUSES AND PROTOZOA"
"XAASV","CONTROL OF UNWANTED SUCKERS"
"WMOTH","MOTHS"
"HAWK","FALSE HAWKBIT"
"EXUD","ANTI-EXUDATIVE AND ANALGESIC EFFECT"
"INPA","ALLEVIATION OF PAIN IN GASTROINTESTINAL DISORDERS (EG. COLIC)"
"UAV","RED FOXES"
"HYPOG","FOR THE PREVENTION OF SUBCLINICAL HYPOCALCAEMIA AND AS AN AID IN THE PREVENTION OF CLINICAL HYPOCALCAEMIA (MILK FEVER) IN COWS"
"LGV1","LEAFY VEGETABLES"
"PMTL","POTATO MOTH"
"PARS","PARSLEY"
"BUCH","BURR CHERVIL"
"KNHED","KNOTTED HEDGE"
"PEAPB","PRE-EMERGENCE CONTROL OF MANY ANNUAL, SOME PERENNIAL AND BROADLEAVED WEEDS"
"ZURTP","NETTLES - PRE-EMERGENCE"
"ZAMARP","REDROOT AMARANTH - PRE-EMMERGENCE - AMARANTHUS RETROFLEXUS"
"ZGWTG","WILD TURNIP - SUPRESSION"
"GBDLW","GERMINATING BROADLEAF WEEDS"
"ZPOLZ1","WIREWEED - SUPRESSION"
"YANTCR","CROWN AND PETIOLE ROTS"
"YROTV2","SCLEROTINIA"
"WWEBE","BARK EATING WEEVIL"
"YRUFB","FABA BEAN RUST"
"ZEUSR","EUCALYPTUS SEEDLING AND REGROWTH FROM SMALL LIGNOTUBERS, 1 TO 3 M TALL"
"YSMUL8","SUGARCANE SMUT"
"YDAO5","DAMPING OFF - SUPPRESSION - PYTHIUM SPP. & PHYTOPHTHORA SPP."
"WBUSR","RED BANDED SHIELD BUG"
"RTD1","RESPIRATORY TRACT DISEASE"
"APICN","APICAL NECROSIS"
"ZLOLD","ANNUAL RYEGRASS - INCLUDING CONTROL OF GROUP D RESISTANT POPULATIONS - LOLIUM RIGIDUM"
"ALUR","ALL INSECTS ATTRACTED BY LURE (MONITORING PUROSES, ATTRACTING INSECTS). "
"ZGLE3","CONTROL OF LUCERNE"
"PIME","PIMELEA SP."
"WAPBN","BEAN APHID"
"CRYP","CRYPTOSPORIDIUM SPP."
"BIOF1","BIOFILM IN POOLS"
"WOL","WEEDS ON LABEL"
"YMIDB","DOWNY MILDEW "
"YMIDP1","DOWNY MILDEW "
"INPA1","ALLEVIATION OF PAIN"
"INFA1","ALLEVIATION OF INFLAMMATION "
"USNCB","COMMON BROWN SNAIL"
"USNWS","WHITE SNAILS"
"YMIEH","POWDERY MILDEW (SUPPRESSION ONLY)"
"DEND","DENDRITIC SPOT"
"SORO2","SOUR ROT"
"GBBGSR","GERMINATING BROADLEF WEEDS, GRASSES, SEDGES AND RUSHES"
"ZUFMS","COMMON FUMITORY SUPPRESSION"
"RGL","RED GUM LERP"
"YWWILM","VERTICILLIUM DAHLIAE MICROSCLEROTIA"
"YRO40","ROOT ROT - PHYTOPHTHORA SPP PREVENTATIVE ONLY"
"NRBA","NECK ROT"
"ZANNGB","ANNUAL GRASS AND BROADLEAF WEEDS (AS PER LABEL)"
"IJPAG","IMPROVED JOINING PERFORMANCE IN ANGORA GOATS"
"ISP1","INCREASED SEMEN PRODUCTION"
"IJPB","IMPROVED JOINING PERFORMANCE IN BUCKS"
"AZFB1","AMAZON FROGBIT "
"AZLL1","AZOLLA"
"BLTP1","BLUNT PONDWEED"
"HNWT1","HORNWORT"
"LFYE1","LEAFY ELODEA "
"SGGT1","SAGITTARIA"
"SLDK1","SLENDER KNOT OR SMARTWEED "
"WTRS1","WATER STARGRASS"
"YWPP1","YELLOW WATER POPPY "
"DOC","DOCK"
"NA1","NUISANCE ANTS INCLUDING RED IMPORTED FIRE ANT AND YELLOW CRAZY ANT"
"WEET","REFER WEED TABLE"
"ASOSL","AFTER SHEARING (OFF-SHEARS) WITH ANY WOOL LENGTH"
"ONI","ONION APHID"
"MEL","MELON APHID"
"NEMPA","PARASITIC NEMATODES LIVING FREELY IN SOIL"
"ZCERO","VOLUNTEER OATS"
"RFLA","REFER TO LABEL FOR ALL USES"
"IHMSS","INDIAN HEDGE MUSTARD  - REDUCTION OF SEED SET AND VIABILITY"
"SMTSS","SOW / MILK THISTLE - REDUCTION OF SEED SET AND VIABILITY"
